[ 2025-06-29 22:32:56,584 ] 20 root - INFO - Initiate the data ingestion
[ 2025-06-29 22:33:10,107 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-29 22:33:10,107 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-29 22:33:10,107 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-29 22:33:10,288 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-29 22:33:10,288 ] 22 root - INFO - Data Initiation Completed
[ 2025-06-29 22:33:10,296 ] 26 root - INFO - Initiate the data Validation
[ 2025-06-29 22:33:10,362 ] 32 root - INFO - Required number of columns:2
[ 2025-06-29 22:33:10,362 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-29 22:33:10,362 ] 32 root - INFO - Required number of columns:2
[ 2025-06-29 22:33:10,362 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-29 22:33:10,562 ] 28 root - INFO - data Validation Completed
