[ 2025-06-29 22:33:46,042 ] 20 root - INFO - Initiate the data ingestion
[ 2025-06-29 22:33:59,169 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-29 22:33:59,169 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-29 22:33:59,177 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-29 22:33:59,225 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-29 22:33:59,225 ] 22 root - INFO - Data Initiation Completed
[ 2025-06-29 22:33:59,240 ] 26 root - INFO - Initiate the data Validation
[ 2025-06-29 22:33:59,311 ] 32 root - INFO - Required number of columns:2
[ 2025-06-29 22:33:59,311 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-29 22:33:59,314 ] 32 root - INFO - Required number of columns:2
[ 2025-06-29 22:33:59,314 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-29 22:33:59,445 ] 28 root - INFO - data Validation Completed
[ 2025-06-29 22:33:59,445 ] 31 root - INFO - data Transformation started
[ 2025-06-29 22:33:59,445 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-29 22:33:59,445 ] 65 root - INFO - Starting data transformation
[ 2025-06-29 22:33:59,477 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-29 22:33:59,477 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-29 22:33:59,528 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-29 22:33:59,553 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-29 22:33:59,553 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-29 22:33:59,562 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-29 22:33:59,562 ] 35 root - INFO - data Transformation completed
[ 2025-06-29 22:33:59,569 ] 37 root - INFO - Model Training sstared
