[ 2025-06-29 22:31:43,881 ] 20 root - INFO - Initiate the data ingestion
[ 2025-06-29 22:32:00,366 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-29 22:32:00,366 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-29 22:32:00,366 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-29 22:32:00,437 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-29 22:32:00,445 ] 22 root - INFO - Data Initiation Completed
[ 2025-06-29 22:32:00,478 ] 26 root - INFO - Initiate the data Validation
[ 2025-06-29 22:32:00,600 ] 32 root - INFO - Required number of columns:2
[ 2025-06-29 22:32:00,600 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-29 22:32:00,600 ] 32 root - INFO - Required number of columns:2
[ 2025-06-29 22:32:00,600 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-29 22:32:00,843 ] 28 root - INFO - data Validation Completed
